ID,Title,Product/Workload,Status,Release phase,Targeted dates,Cloud instance,Short description,Official Roadmap link
MC1047250,(Updated) Microsoft Teams: Sensitivity labels on collaborative meeting notes and Microsoft Loop components,Microsoft Teams,,,2025-04-03T02:09:59Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact, Admin impact",https://learn.microsoft.com/purview/sensitivity-labels-loop
MC1047912,(Updated) Microsoft Purview: New Purview Data Security Investigations (DSI) solution,Microsoft Purview,,,2025-04-04T02:26:34Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact, Admin impact","Microsoft Purview Data Security Investigations (DSI) is an AI-powered solution for data security teams to identify, analyze, and mitigate risks. Public Preview starts in April 2025, with General Availability in August 2025. DSI helps locate and analyze data, visualize correlations, and refine security policies. Learn more [here](https://techcommunity.microsoft.com/blog/microsoft-security-blog/accelerate-data-security-investigations-with-ai-powered-deep-content-analysis/4396099)."
MC1047925,(Updated) Outlook: open attachments while offline in the new Outlook for Windows,Exchange Online,,,2025-04-04T02:54:35Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, New feature, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?rtc=1%26filters%3D&amp;searchterms=472026
MC1047929,(Updated) Microsoft Viva Engage app for iOS/Android will have a shorter name in app stores,Microsoft Viva,,,2025-04-04T02:57:38Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",
MC1048620,(Updated) Outlook: Draft with Copilot Highlight & Rewrite in classic Outlook for Windows,Exchange Online,,,2025-04-04T23:10:15Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?rtc=1%26filters%3D&amp;searchterms=407380
MC1048622,(Updated) Advanced Insights - Copilot Headlines Report,Microsoft Viva,,,2025-04-04T23:11:39Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?rtc=1%26filters%3D&amp;searchterms=408543
MC1048624,(Updated) DNS Provisioning Change,Exchange Online,,,2025-04-04T23:12:38Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, Admin impact",https://learn.microsoft.com/graph/api/domain-list-serviceconfigurationrecords?view=graph-rest-1.0&amp;tabs=http
MC1052160,(Updated) Microsoft Defender XDR services: Changes to the IdentityInfo table in Advanced Hunting,Microsoft Defender XDR,,,2025-04-10T01:43:17Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, Feature update, Admin impact",https://learn.microsoft.com/defender-xdr/advanced-hunting-identityinfo-table
MC1052162,Microsoft Teams: Now available - new policy setting for Speaker Attribution in BYOD scenarios - Enabled ON by default,Microsoft Teams,,,2025-04-10T01:44:41Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, Feature update, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?searchterms=488301
MC1052915,"Microsoft Teams: Enhanced Agent catalog available in the App Store in Teams, Microsoft 365, and Microsoft Outlook",Microsoft 365 suite,,,2025-04-10T23:35:35Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",https://learn.microsoft.com/copilot/agents#manage-agents
MC1053121,(Updated) Microsoft 365 apps: We will prompt users to back up their files in Microsoft OneDrive (new info),Microsoft 365 apps,,,2025-04-11T05:36:45Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, New feature, User impact",https://learn.microsoft.com/sharepoint/redirect-known-folders
MC1053652,(Updated) Microsoft Viva Pulse: New Delegation feature,Microsoft Viva,,,2025-04-11T21:42:37Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=479753
MC1055554,"(Updated) Microsoft Teams: The ""Code snippets"" feature for chats and channels will retire",Microsoft Teams,,,2025-04-15T00:29:28Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, User impact, Admin impact, Retirement",https://support.microsoft.com/office/send-code-snippets-in-a-message-in-microsoft-teams-5406fe2b-2771-4b9a-bd73-656914f6ab3c
MC1055555,(Updated) Microsoft SharePoint Online: We will remove retired DISCO and WSDL web pages,SharePoint Online,,,2025-04-15T00:30:11Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, User impact, Admin impact, Retirement",https://learn.microsoft.com/graph/use-the-api
MC1055557,(Updated) SharePoint Online: Content Security Policy Control in Tenant Administration,SharePoint Online,,,2025-04-15T00:31:48Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, Admin impact",
MC1056269,"(Updated) Microsoft Teams: town hall organizers, co-organizers, presenters can join the event to preview as attendee",Microsoft Teams,,,2025-04-15T23:26:41Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=484126
MC1058258,(Updated) Microsoft Teams: Specify who can manage the screen in town halls,Microsoft Teams,,,2025-04-18T23:52:41Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=487432
MC1058259,"(Updated) Microsoft Teams: Preview changes before making them visible to attendees with ""Manage what attendees see""",Microsoft Teams,,,2025-04-18T23:53:58Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, Feature update, User impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=487431
MC1059668,(Update) Microsoft Teams: Meeting option suggestions in classic Microsoft Outlook for Windows,Microsoft Teams,,,2025-04-21T23:38:28Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=487858
MC1059671,(Updated) Microsoft SharePoint Online eSignature for Microsoft Word,"SharePoint Online, Microsoft 365 apps",,,2025-04-21T23:41:22Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact, Admin impact",https://learn.microsoft.com/microsoft-365/syntex/esignature-overview#regional-availability
MC1059673,Microsoft Teams: Expanded and enhanced peripheral auto-association support for Bring Your Own Device (BYOD) spaces,Microsoft Teams,,,2025-04-21T23:42:50Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=486693
MC1059674,(Updated) Microsoft Teams: Real-Time Text (RTT) in Teams meetings and calls,Microsoft Teams,,,2025-04-21T23:43:12Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=484119
MC1059675,(Updated) Microsoft Teams: Pop out live captions and Real-Time Text (RTT) in Teams meetings,Microsoft Teams,,,2025-04-21T23:43:46Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=484113
MC1060842,(Updated) Microsoft 365 Copilot: People Skills will be available starting in May,"Microsoft 365 suite, Microsoft Viva",,,2025-04-23T16:07:20Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?searchterms=485726
MC1061099,(Updated) New Feature: Role-based access controls for Windows Autopatch,Windows Autopatch,,,2025-04-24T00:50:29Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact, Admin impact",https://go.microsoft.com/fwlink/?linkid=2109431
MC1061107,(Updated) Microsoft 365 Copilot in Viva Glint: Viva Glint admin can enable Copilot for the Company admin user role,Microsoft Viva,,,2025-04-24T00:55:56Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=489219
MC1062452,(Updated) Microsoft Teams: Join as attendees in Microsoft events from Teams Rooms on Windows,Microsoft Teams,,,2025-04-25T22:56:50Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=484125
MC1062453,(Updated) Changes to how users install Microsoft 365 apps from the Microsoft 365 Copilot app,Microsoft 365 apps,,,2025-04-25T22:57:17Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, Feature update, User impact",https://support.microsoft.com/office/download-install-or-reinstall-microsoft-365-or-office-2024-on-a-pc-or-mac-4414eaaf-0478-48be-9c42-23adc4716658
MC1064354,Microsoft Purview: Sender email address update for Microsoft Teams Data Loss Prevention Generate Incident Report emails,Microsoft Purview,,,2025-04-29T01:17:53Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, Feature update, Admin impact","Microsoft is updating the sender email addresses for Teams Data Loss Prevention Generate Incident Report emails. The rollout will now start on August 20, 2025, and complete by August 30, 2025. After this period, all such emails will be sent from <no-reply@teams.mail.microsoft.com>."
MC1066337,(Updated) Microsoft Exchange Online: Introducing ActorInfoString in Exchange Online audit logs,Exchange Online,,,2025-05-01T22:29:42Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, Admin impact",
MC1066342,Microsoft Outlook: Updated behavior for switching back from new Outlook to classic Outlook for Windows,"Exchange Online, Microsoft 365 apps",,,2025-05-01T22:32:41Z,Worldwide (Standard Multi-Tenant),"stayInformed; Feature update, User impact",https://support.microsoft.com/en-us/office/switch-to-new-outlook-for-windows-f5fb9e26-af7c-4976-9274-61c6428344e7
MC1066439,(Updated) New Microsoft Outlook for Windows and Outlook for the web: Jump to a message in the message list,"Exchange Online, Microsoft 365 for the web, Microsoft 365 apps",,,2025-05-02T03:45:27Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=490058
MC1066937,(Updated) New Queues app service plan (Teams Premium),Microsoft Teams,,,2025-05-02T23:00:24Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, New feature, User impact, Admin impact",https://www.microsoft.com/en-us/microsoft-365/roadmap?rtc=1%26filters%3D&amp;searchterms=490056
MC1068270,(Updated) Microsoft Outlook for iOS/Android apps: Copy attachments that are not links,"Exchange Online, Microsoft 365 apps",,,2025-05-05T23:19:12Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=490063
MC1068276,"(Updated) Create, Delete, Rename, and Move Folders in Outlook for iOS and Android","Exchange Online, Microsoft 365 apps",,,2025-05-05T23:23:06Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",https://www.microsoft.com/microsoft-365/roadmap?rtc=1%26filters%3D&amp;searchterms=489831
MC1068902,(Updated) Microsoft Outlook for Android: Updated conversation actions,"Exchange Online, Microsoft 365 apps",,,2025-05-06T22:38:59Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",
MC1068905,Microsoft Project for the web and Project in Teams will retire and redirect to Planner for the web and Planner in Teams,Project for the web,,,2025-05-06T22:40:06Z,Worldwide (Standard Multi-Tenant),"planForChange; User impact, Admin impact, Retirement",https://support.microsoft.com/office/manage-multiple-plans-with-portfolios-in-microsoft-planner-dbba638b-8066-40e4-89d5-dd16e2c61724
MC1068906,(Updated) Microsoft Teams: Microsoft 365 Copilot for phone without transcription,Microsoft Teams,,,2025-05-06T22:40:33Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=482745
MC1069555,(Updated) Microsoft Teams: Send messages to attendees in the meeting lobby with Lobby chat,Microsoft Teams,,,2025-05-07T23:42:49Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, Feature update, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=480716
MC1069560,Modern SharePoint: New Template gallery and 50+ out-of-the-box page templates,SharePoint Online,,,2025-05-07T23:44:47Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=490565
MC1069561,(Updated) Microsoft SharePoint: Updated Page Analytics,SharePoint Online,,,2025-05-07T23:45:55Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",https://www.microsoft.com/microsoft-viva/pricing
MC1069563,Microsoft 365 admin center: Usage reports to manage metered consumption costs for Microsoft 365 Copilot Chat (preview),Microsoft 365 suite,,,2025-05-07T23:47:17Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=490738
MC1070846,Microsoft PowerPoint for Windows: Create a presentation with Microsoft Copilot from the PowerPoint Backstage view,Microsoft 365 apps,,,2025-05-09T21:26:05Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=491469
MC1072399,Microsoft Viva Insights / Copilot Analytics: Unified experience for Copilot Dashboard and Insights analyst workbench,Microsoft Viva,,,2025-05-12T23:30:25Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, Feature update, Admin impact",https://learn.microsoft.com/viva/insights/advanced/setup-maint/environment-requirements
MC1072404,(Updated) New Microsoft Outlook and Outlook for the web: Admin setting for inheriting a S/MIME signature on reply,"Exchange Online, Microsoft 365 for the web, Microsoft 365 apps",,,2025-05-12T23:37:41Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, Feature update, User impact, Admin impact",https://learn.microsoft.com/en-us/powershell/module/exchange/set-smimeconfig?view=exchange-ps
MC1072411,(Updated) Microsoft Outlook for iOS: Updated conversation actions,"Exchange Online, Microsoft 365 apps",,,2025-05-12T23:41:05Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=492627
MC1072889,(Updated) SharePoint Alerts retirement,SharePoint Online,,,2025-05-13T16:32:40Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, User impact, Admin impact, Retirement",https://support.microsoft.com/en-us/office/create-an-alert-to-get-notified-when-a-file-or-folder-changes-in-sharepoint-e5a79e7b-a146-46da-a9ef-d65409ba8918#Pick_tab=Online
MC1073068,Microsoft Defender for Identity: We will disable collection of local administrators' group members (using SAM-R),Microsoft Defender XDR,,,2025-05-13T22:55:04Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, Feature update, Admin impact",
MC1073071,(Updated) Microsoft 365 Copilot: Access agents from the Microsoft Edge sidebar,Microsoft 365 suite,,,2025-05-13T22:56:28Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=482410
MC1074098,(Updated) Microsoft OneDrive: Export files as PDF,Microsoft OneDrive,,,2025-05-14T23:43:20Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, Admin impact",https://support.microsoft.com/office/create-a-new-shared-library-from-onedrive-for-work-or-school-345c8599-05d8-4bf8-9355-2b5cfabe04d0
MC1075649,VBScript deprecation: Detection strategies for Windows,Windows,,,2025-05-16T17:04:13.923Z,Worldwide (Standard Multi-Tenant),planForChange; Admin impact,https://techcommunity.microsoft.com/blog/windows-itpro-blog/vbscript-deprecation-detection-strategies-for-windows/4414325
MC1075900,(Updated) Microsoft Viva Insights: People Skills insights for analysts,Microsoft Viva,,,2025-05-16T22:18:06Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?searchterms=491022
MC1075905,(Updated) Microsoft 365 admin center: Onboard SharePoint agents as a Pay-as-you-go scenario,Microsoft 365 suite,,,2025-05-16T22:21:40Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, New feature, User impact, Admin impact",
MC1075910,(Updated) OneDrive: Prompt for permitted users to sign in to OneDrive app with personal Microsoft account,Microsoft OneDrive,,,2025-05-16T22:24:43Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?rtc=1%26filters%3D&amp;searchterms=490064
MC1077563,Take Action: Out-of-band update to address BitLocker recovery prompt issue on Windows 10,Windows,,,2025-05-19T17:01:59.77Z,Worldwide (Standard Multi-Tenant),preventOrFixIssue; Admin impact,https://support.microsoft.com/topic/may-13-2025-kb5058379-os-builds-19044-5854-and-19045-5854-0a30e9ee-5038-45dd-a5d7-70a8813a5e39
MC1077860,Microsoft Outlook for iOS and Android: Custom account icons,"Exchange Online, Microsoft 365 apps",,,2025-05-19T23:42:50Z,Worldwide (Standard Multi-Tenant),"stayInformed; New feature, User impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=467250
MC1077861,Microsoft Defender for Cloud Apps: SIEM agents will retire,Microsoft Defender XDR,,,2025-05-19T23:43:22Z,Worldwide (Standard Multi-Tenant),"planForChange; Admin impact, Retirement",https://learn.microsoft.com/defender-xdr/streaming-api
MC1077863,(Updated) Microsoft OneDrive and Microsoft SharePoint: Use the table of contents in a PDF to navigate,"SharePoint Online, Microsoft OneDrive",,,2025-05-19T23:44:35Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=486859
MC1077865,Updated: Microsoft Teams: Introducing the Network Strength Indicator,Microsoft Teams,,,2025-05-19T23:45:28Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",https://www.microsoft.com/microsoft-365/roadmap?rtc=1%26filters%3D&amp;searchterms=414513
MC1078765,"Microsoft OneDrive: New ""View and upload"" permission for Anyone links to folders",Microsoft OneDrive,,,2025-05-20T23:45:01Z,Worldwide (Standard Multi-Tenant),"stayInformed; New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=485801
MC1079695,Dynamics 365 Project Operations - Post expenses on the expense report posting date,Dynamics 365 Apps,,,2025-05-21T21:32:39Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature",
MC1079708,"Dynamics 365 Project Operations - Edit per diem transaction date, exchange rate in expense management",Dynamics 365 Apps,,,2025-05-21T21:47:57Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature",
MC1079736,(Updated) Microsoft SharePoint and Microsoft OneDrive: Apply watermark to PDFs,"SharePoint Online, Microsoft OneDrive",,,2025-05-21T22:47:59Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=485796
MC1079737,"New Microsoft Outlook for Windows: Add custom sounds for new mail notifications, mail reactions, and Calendar reminders","Exchange Online, Microsoft 365 apps",,,2025-05-21T22:48:30Z,Worldwide (Standard Multi-Tenant),"stayInformed; Feature update, User impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=491019
MC1079742,Dynamics 365 Project Operations - Enable number sequences in expense management,Dynamics 365 Apps,,,2025-05-21T22:09:20Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature",
MC1080391,An updated version of the May 2025 Scan Cab is available,Windows,,,2025-05-22T17:02:21.95Z,Worldwide (Standard Multi-Tenant),preventOrFixIssue; Admin impact,https://support.microsoft.com/topic/-net-8-0-update-may-13-2025-kb5059200-8ace2b08-2644-454e-a43f-157c60835e49
MC1081492,(Updated) Take Action: Out-of-band update to address issue on devices running Hyper-V on some versions of Windows,Windows,,,2025-05-27T21:49:10.567Z,Worldwide (Standard Multi-Tenant),preventOrFixIssue; Admin impact,https://learn.microsoft.com/azure/confidential-computing/confidential-vm-overview
MC1081538,(Updated) Important Update to the Get-FederationInformation Cmdlet in Exchange Online,Exchange Online,,,2025-05-23T22:23:20Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, Feature update, Admin impact",https://techcommunity.microsoft.com/blog/exchange/important-update-to-the-get-federationinformation-cmdlet-in-exchange-online/4410095
MC1081568,(Updated) Microsoft Teams: Automatically set work location by connecting to a Wi-Fi network,Microsoft Teams,,,2025-05-23T23:15:29Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=488800
MC1081583,Microsoft 365 admin center: Peer benchmark update in Adoption Score for Microsoft 365,Microsoft 365 suite,,,2025-05-23T23:48:53Z,Worldwide (Standard Multi-Tenant),"planForChange; Feature update, Admin impact",https://learn.microsoft.com/microsoft-365/admin/adoption/adoption-score?view=o365-worldwide#interpreting-your-organizations-adoption-score
MC1083843,"The May 2025 Windows non-security preview update is now available for Windows 11, versions 23H2 and 22H2",Windows,,,2025-05-27T16:59:17.177Z,Worldwide (Standard Multi-Tenant),stayInformed; Admin impact,https://support.microsoft.com/help/5058502
MC1083986,Announcing Windows Backup for Organizations,Windows,,,2025-05-27T21:04:18.667Z,Worldwide (Standard Multi-Tenant),stayInformed; Admin impact,
